feature_id;feature_group;feature_subgroup;feature_label;definition;collection;author;hardwood_number;softwood_number;bart_number;feature_value;parent
IFC-390;SCLERENCHYMA: FIBERS AND SCLEREIDS;Sclerification at the tissue level;Fibers and sclereids (including fiber-sclereids) mixed together;;Bark;IAWA;;;77;;
IFC-391;SCLERENCHYMA: FIBERS AND SCLEREIDS;Arrangement of fibers, fiber-sclereids and sclereids;Diffuse and diffuse-in-aggregates;;Bark;IAWA;;;78;;
IFC-392;SCLERENCHYMA: FIBERS AND SCLEREIDS;Arrangement of fibers, fiber-sclereids and sclereids;Clusters;;Bark;IAWA;;;79;;
IFC-393;SCLERENCHYMA: FIBERS AND SCLEREIDS;Arrangement of fibers, fiber-sclereids and sclereids;Tangential bands;;Bark;IAWA;;;80;;
IFC-394;SCLERENCHYMA: FIBERS AND SCLEREIDS;Arrangement of fibers, fiber-sclereids and sclereids;Fibers constituting the ground tissue of the secondary phloem;;Bark;IAWA;;;81;;
IFC-395;SCLERENCHYMA: FIBERS AND SCLEREIDS;Arrangement of fibers, fiber-sclereids and sclereids;Radial rows;;Bark;IAWA;;;82;;
IFC-396;SCLERENCHYMA: FIBERS AND SCLEREIDS;Fiber or fiber-sclereid band width;Narrow: 1–2 cells wide;;Bark;IAWA;;;83;;
IFC-397;SCLERENCHYMA: FIBERS AND SCLEREIDS;Fiber or fiber-sclereid band width;Medium: (2–)3–5 cells wide;;Bark;IAWA;;;84;;
IFC-398;SCLERENCHYMA: FIBERS AND SCLEREIDS;Fiber or fiber-sclereid band width;Wide: more than 5 cells wide;;Bark;IAWA;;;85;;
IFC-399;SCLERENCHYMA: FIBERS AND SCLEREIDS;Storied structure;Phloem elements nonstoried;;Bark;IAWA;;;86;;
IFC-400;SCLERENCHYMA: FIBERS AND SCLEREIDS;Storied structure;All rays, axial parenchyma and sieve-tube elements storied;;Bark;IAWA;;;87;;
IFC-401;SCLERENCHYMA: FIBERS AND SCLEREIDS;Storied structure;Low rays storied, high rays nonstoried;;Bark;IAWA;;;88;;
IFC-402;SCLERENCHYMA: FIBERS AND SCLEREIDS;Storied structure;Axial parenchyma and/or sieve elements storied;;Bark;IAWA;;;89;;
IFC-403;SCLERENCHYMA: FIBERS AND SCLEREIDS;Storied structure;Rays and/or axial elements irregularly storied;;Bark;IAWA;;;90;;
IFC-404;SCLERENCHYMA: FIBERS AND SCLEREIDS;Pericyclic and protophloem fibers and sclereids;pericycle remaining parenchymatous;;Bark;IAWA;;;91;;
IFC-405;SCLERENCHYMA: FIBERS AND SCLEREIDS;Pericyclic and protophloem fibers and sclereids;Pericycle with a ring of discrete fiber strands embedded in parenchyma;;Bark;IAWA;;;92;;
IFC-406;SCLERENCHYMA: FIBERS AND SCLEREIDS;Pericyclic and protophloem fibers and sclereids;Pericycle with a continuous or nearly continuous closed ring of fibers;;Bark;IAWA;;;93;;
IFC-407;SCLERENCHYMA: FIBERS AND SCLEREIDS;Pericyclic and protophloem fibers and sclereids;Pericycle with alternating groups of fibers and sclereids in a continuous or nearly continuous ring;;Bark;IAWA;;;94;;
IFC-408;SCLERENCHYMA: FIBERS AND SCLEREIDS;Variation in the location of the phloem;Intraxylary phloem present;;Bark;IAWA;;;95;;
IFC-409;SCLERENCHYMA: FIBERS AND SCLEREIDS;Variation in the location of the phloem;Phloem strands or bands produced by successive cambia present throughout the stem;;Bark;IAWA;;;96;;
IFC-410;SCLERENCHYMA: FIBERS AND SCLEREIDS;Variation in the location of the phloem;Interxylary phloem produced by a single cambium present throughout the stem;;Bark;IAWA;;;97;;
IFC-411;SCLERENCHYMA: FIBERS AND SCLEREIDS;Variation in the location of the phloem;Phloem wedges present;;Bark;IAWA;;;98;;
IFC-412;PERIDERM AND RHYTIDOME (OUTER BARK);Origins of the first periderm;Epidermal;;Bark;IAWA;;;99;;
IFC-413;PERIDERM AND RHYTIDOME (OUTER BARK);Origins of the first periderm;Subepidermal layer;;Bark;IAWA;;;100;;
IFC-414;PERIDERM AND RHYTIDOME (OUTER BARK);Origins of the first periderm;Second and third cortical layers;;Bark;IAWA;;;101;;
IFC-415;PERIDERM AND RHYTIDOME (OUTER BARK);Origins of the first periderm;Deep-seated: in inner cortex, endodermis, pericycle or the phloem;;Bark;IAWA;;;102;;
IFC-416;PERIDERM AND RHYTIDOME (OUTER BARK);Arrangement of sequent periderms in TS;reticulate;;Bark;IAWA;;;103;;
IFC-417;PERIDERM AND RHYTIDOME (OUTER BARK);Arrangement of sequent periderms in TS;Concentric;;Bark;IAWA;;;104;;
IFC-418;PERIDERM AND RHYTIDOME (OUTER BARK);Types of phellem cells;Phellem cells evenly thin-walled;;Bark;IAWA;;;105;;
IFC-419;PERIDERM AND RHYTIDOME (OUTER BARK);Types of phellem cells;Phellem cells evenly thick-walled and sclerified;;Bark;IAWA;;;106;;
IFC-420;PERIDERM AND RHYTIDOME (OUTER BARK);Types of phellem cells;Phellem cells with u-shaped wall thickenings;;Bark;IAWA;;;107;;
IFC-421;PERIDERM AND RHYTIDOME (OUTER BARK);Types of phellem cells;Phellem cells with inversely u-shaped wall thickenings;;Bark;IAWA;;;108;;
IFC-422;PERIDERM AND RHYTIDOME (OUTER BARK);Types of phellem cells;Phelloid cells present;;Bark;IAWA;;;109;;
IFC-423;PERIDERM AND RHYTIDOME (OUTER BARK);Stratification and aerenchyma in the phellem;Alternating bands of thin-walled and thick-walled phellem cells;;Bark;IAWA;;;110;;
IFC-424;PERIDERM AND RHYTIDOME (OUTER BARK);Stratification and aerenchyma in the phellem;Alternating layers of cells with and without dark contents;;Bark;IAWA;;;111;;
IFC-425;PERIDERM AND RHYTIDOME (OUTER BARK);Stratification and aerenchyma in the phellem;Phellem nonstratified;;Bark;IAWA;;;112;;
IFC-426;PERIDERM AND RHYTIDOME (OUTER BARK);Stratification and aerenchyma in the phellem;Phellem aerenchymatous;;Bark;IAWA;;;113;;
IFC-427;PERIDERM AND RHYTIDOME (OUTER BARK);Phelloderm thickness;Thin (1–3 cell layers);;Bark;IAWA;;;114;;
IFC-428;PERIDERM AND RHYTIDOME (OUTER BARK);Phelloderm thickness;Thick (more than 3 cell layers);;Bark;IAWA;;;115;;
IFC-429;PERIDERM AND RHYTIDOME (OUTER BARK);Cell types and phelloderm stratification;Phelloderm cells parenchymatous;;Bark;IAWA;;;116;;
IFC-430;PERIDERM AND RHYTIDOME (OUTER BARK);Cell types and phelloderm stratification;Phelloderm cell walls evenly thickened and sclerified;;Bark;IAWA;;;117;;
IFC-431;PERIDERM AND RHYTIDOME (OUTER BARK);Cell types and phelloderm stratification;Phelloderm cells sclerified with U-shaped or inversely U-shaped wall thick-enings;;Bark;IAWA;;;118;;
IFC-432;PERIDERM AND RHYTIDOME (OUTER BARK);Cell types and phelloderm stratification;Phelloderm consisting of alternating sclerified or nonsclerified cell layers;;Bark;IAWA;;;119;;
IFC-433;PERIDERM AND RHYTIDOME (OUTER BARK);Cell types and phelloderm stratification;Phelloderm and phellem cells square and/or rectangular (tangentially elon-gate);;Bark;IAWA;;;120;;
IFC-434;PERIDERM AND RHYTIDOME (OUTER BARK);Cell types and phelloderm stratification;Phelloderm and phellem cells radially elongate;;Bark;IAWA;;;121;;
IFC-435;PERIDERM AND RHYTIDOME (OUTER BARK);Lenticels;Filling tisssue nonstratified (homogeneous) and suberized;;Bark;IAWA;;;122;;
IFC-436;PERIDERM AND RHYTIDOME (OUTER BARK);Lenticels;Filling tissue nonstratified (homogeneous) and largely nonsuberized;;Bark;IAWA;;;123;;
IFC-437;PERIDERM AND RHYTIDOME (OUTER BARK);Lenticels;Filling tissue stratified (heterogeneous);;Bark;IAWA;;;124;;
IFC-438;PERIDERM AND RHYTIDOME (OUTER BARK);Outgrowths of the bark;prickles present;;Bark;IAWA;;;125;;
IFC-439;PERIDERM AND RHYTIDOME (OUTER BARK);Outgrowths of the bark;Prickles originating from the cortex;;Bark;IAWA;;;126;;
IFC-440;PERIDERM AND RHYTIDOME (OUTER BARK);Outgrowths of the bark;Prickles originating from the phellogen;;Bark;IAWA;;;127;;
IFC-441;PERIDERM AND RHYTIDOME (OUTER BARK);Outgrowths of the bark;Winged bark present;;Bark;IAWA;;;128;;
IFC-442;MINERAL AND ORGANIC INCLUSIONS;Crystal shape;Prismatic crystals;;Bark;IAWA;;;129;;
IFC-443;MINERAL AND ORGANIC INCLUSIONS;Crystal shape;Druses;;Bark;IAWA;;;130;;
IFC-444;MINERAL AND ORGANIC INCLUSIONS;Crystal shape;Raphides;;Bark;IAWA;;;131;;
IFC-445;MINERAL AND ORGANIC INCLUSIONS;Crystal shape;Acicular crystals;;Bark;IAWA;;;132;;
IFC-446;MINERAL AND ORGANIC INCLUSIONS;Crystal shape;Styloids and elongated crystals;;Bark;IAWA;;;133;;
IFC-447;MINERAL AND ORGANIC INCLUSIONS;Crystal shape;Crystal sand;;Bark;IAWA;;;134;;
IFC-448;MINERAL AND ORGANIC INCLUSIONS;Crystals of other shapes (mostly small);Cubical crystals;;Bark;IAWA;;;135;;
IFC-449;MINERAL AND ORGANIC INCLUSIONS;Crystals of other shapes (mostly small);Navicular crystals;;Bark;IAWA;;;136;;
IFC-450;MINERAL AND ORGANIC INCLUSIONS;Crystals of other shapes (mostly small);Spindle-shaped crystals;;Bark;IAWA;;;137;;
IFC-451;MINERAL AND ORGANIC INCLUSIONS;Crystals of other shapes (mostly small);Pyramidal crystals;;Bark;IAWA;;;138;;
IFC-452;MINERAL AND ORGANIC INCLUSIONS;Crystals of other shapes (mostly small);Diamond-shaped crystals;;Bark;IAWA;;;139;;
IFC-453;MINERAL AND ORGANIC INCLUSIONS;Crystals of other shapes (mostly small);Tabular crystals;;Bark;IAWA;;;140;;
IFC-454;MINERAL AND ORGANIC INCLUSIONS;Crystals of other shapes (mostly small);Indented and twinned crystals;;Bark;IAWA;;;141;;
IFC-455;MINERAL AND ORGANIC INCLUSIONS;Crystals of other shapes (mostly small);Acicular crystals in variously-shaped aggregates;;Bark;IAWA;;;142;;
IFC-456;MINERAL AND ORGANIC INCLUSIONS;Crystals of other shapes (mostly small);Sphaerites or sphaerocrystals;;Bark;IAWA;;;143;;
IFC-457;MINERAL AND ORGANIC INCLUSIONS;Distribution of mineral inclusions;In single axial parenchyma cells;;Bark;IAWA;;;146;;
IFC-458;MINERAL AND ORGANIC INCLUSIONS;Distribution of mineral inclusions;In chambered axial parenchyma cells;;Bark;IAWA;;;147;;
IFC-459;MINERAL AND ORGANIC INCLUSIONS;Distribution of mineral inclusions;In ray parenchyma cells;;Bark;IAWA;;;148;;
IFC-460;MINERAL AND ORGANIC INCLUSIONS;Distribution of mineral inclusions;In fibers;;Bark;IAWA;;;149;;
IFC-461;MINERAL AND ORGANIC INCLUSIONS;Distribution of mineral inclusions;In sclereids;;Bark;IAWA;;;150;;
IFC-462;MINERAL AND ORGANIC INCLUSIONS;Distribution of mineral inclusions;In cristarque cells;;Bark;IAWA;;;151;;
IFC-463;MINERAL AND ORGANIC INCLUSIONS;Distribution of mineral inclusions;In cell walls;;Bark;IAWA;;;152;;
IFC-464;MINERAL AND ORGANIC INCLUSIONS;Distribution of mineral inclusions;In cortical cells;;Bark;IAWA;;;153;;
IFC-465;MINERAL AND ORGANIC INCLUSIONS;Distribution of mineral inclusions;In phelloderm cells;;Bark;IAWA;;;154;;
IFC-466;MINERAL AND ORGANIC INCLUSIONS;Distribution of mineral inclusions;In phellem cells;;Bark;IAWA;;;155;;
IFC-467;MINERAL AND ORGANIC INCLUSIONS;Organic inclusions;Starch;;Bark;IAWA;;;156;;
IFC-468;MINERAL AND ORGANIC INCLUSIONS;Organic inclusions;Fructans including inulin;;Bark;IAWA;;;157;;
IFC-469;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Secretory cells;;Bark;IAWA;;;158;;
IFC-470;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Oil cells;;Bark;IAWA;;;159;;
IFC-471;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Mucilage cells;;Bark;IAWA;;;160;;
IFC-472;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Tannin cells;;Bark;IAWA;;;161;;
IFC-473;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Myrosin cells;;Bark;IAWA;;;162;;
IFC-474;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Laticifers;;Bark;IAWA;;;163;;
IFC-475;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Nonarticulated laticifers (latex cells);;Bark;IAWA;;;164;;
IFC-476;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Articulated laticifers (latex vessels);;Bark;IAWA;;;165;;
IFC-477;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Tanniniferous tubes/tubules;;Bark;IAWA;;;166;;
IFC-478;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Secretory intercellular spaces (canals/ducts and cavities);;Bark;IAWA;;;167;;
IFC-479;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Secretory epithelium present;;Bark;IAWA;;;168;;
IFC-480;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Resin ducts;;Bark;IAWA;;;169;;
IFC-481;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Gum ducts;;Bark;IAWA;;;170;;
IFC-482;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Mucilage cavities or canals;;Bark;IAWA;;;171;;
IFC-483;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Breakdown ray areas;;Bark;IAWA;;;172;;
IFC-484;MINERAL AND ORGANIC INCLUSIONS;Secretory structures;Kino veins;;Bark;IAWA;;;173;;
IFC-485;NON-ANATOMICAL INFORMATION;Common legend for the staining used in the color plates;ab/s = Astra-blue and safranin;;Bark;IAWA;;;;;
IFC-486;NON-ANATOMICAL INFORMATION;Common legend for the staining used in the color plates;acb/s = Alcian blue and safranin;;Bark;IAWA;;;;;
IFC-487;NON-ANATOMICAL INFORMATION;Common legend for the staining used in the color plates;cv = crystal violet;;Bark;IAWA;;;;;
IFC-488;NON-ANATOMICAL INFORMATION;Common legend for the staining used in the color plates;fg/s = fast-green and safranin;;Bark;IAWA;;;;;
IFC-489;NON-ANATOMICAL INFORMATION;Common legend for the staining used in the color plates;h/mg = Hematoxylin & malachite green;;Bark;IAWA;;;;;
IFC-490;NON-ANATOMICAL INFORMATION;Common legend for the staining used in the color plates;lb/s = light blue and safranin;;Bark;IAWA;;;;;
IFC-491;NON-ANATOMICAL INFORMATION;Common legend for the staining used in the color plates;n = Natural (unstained);;Bark;IAWA;;;;;
IFC-492;NON-ANATOMICAL INFORMATION;Common legend for the staining used in the color plates;og/cv = orange G and crystal violet;;Bark;IAWA;;;;;
IFC-493;NON-ANATOMICAL INFORMATION;Common legend for the staining used in the color plates;rb/fc = resorcine blue and ferric chloride;;Bark;IAWA;;;;;
IFC-494;NON-ANATOMICAL INFORMATION;Common legend for the staining used in the color plates;s = Safranin;;Bark;IAWA;;;;;
IFC-495;NON-ANATOMICAL INFORMATION;Common legend for the staining used in the color plates;tb = toluidine blue;;Bark;IAWA;;;;;
IFG-1;;;NON-ANATOMICAL INFORMATION;;;IAWA;;;;;
IFG-2;;;MINERAL AND ORGANIC INCLUSIONS;;;IAWA;;;;;
IFG-3;;;GROWTH RINGS;;;IAWA;;;;;
IFG-4;;;VESSELS;;;IAWA;;;;;
IFG-5;;;TRACHEIDS AND FIBRES;;;IAWA;;;;;
IFG-6;;;AXIAL PARENCHYMA;;;IAWA;;;;;
IFG-7;;;RAY;;;IAWA;;;;;
IFG-8;;;STORIED STRUCTURE;;;IAWA;;;;;
IFG-9;;;SECRETORY ELEMENTS AND CAMBIAL VARIANTS;;;IAWA;;;;;
IFG-10;;;MINERAL INCLUSIONS;;;IAWA;;;;;
IFG-11;;;TRACHEIDS;;;IAWA;;;;;
IFG-12;;;HELICAL AND OTHER WALL THICKENINGS;;;IAWA;;;;;
IFG-13;;;AXIAL PARENCHYMA (excludes epithelial and subsidiary cells of canals);;;IAWA;;;;;
IFG-14;;;RAY COMPOSITION;;;IAWA;;;;;
IFG-15;;;CROSS-FIELD PITTING;;;IAWA;;;;;
IFG-16;;;RAY SIZE;;;IAWA;;;;;
IFG-17;;;INTERCELLULAR CANALS;;;IAWA;;;;;
IFG-18;;;SIEVE-TUBE ELEMENTS AND COMPANION CELLS;;;IAWA;;;;;
IFG-19;;;RAYS;;;IAWA;;;;;
IFG-20;;;SCLERENCHYMA: FIBERS AND SCLEREIDS;;;IAWA;;;;;
IFG-21;;;PERIDERM AND RHYTIDOME (OUTER BARK);;;IAWA;;;;;
IFG-22;;;MINERAL AND ORGANIC INCLUSIONS;;;IAWA;;;;;
IFG-23;;;Presence of growth ring boundaries;;;IAWA;;;;;
IFG-25;;;Porosity;;;IAWA;;;;;
IFG-28;;;Arrangement;;;IAWA;;;;;
IFG-31;;;Groupings;;;IAWA;;;;;
IFG-34;;;Outline;;;IAWA;;;;;
IFG-35;;;Perforation plates;;;IAWA;;;;;
IFG-42;;;Intervessel pits arrangement;;;IAWA;;;;;
IFG-46;;;Intervessel pits size (µm);;;IAWA;;;;;
IFG-51;;;Vestured pits;;;IAWA;;;;;
IFG-52;;;Vessel-ray pitting;;;IAWA;;;;;
IFG-58;;;Helical thickenings;;;IAWA;;;;;
IFG-62;;;Tangential diameter (µm);;;IAWA;;;;;
IFG-68;;;Vessel density (V/mm²);;;IAWA;;;;;
IFG-74;;;Mean vessel element length;;;IAWA;;;;;
IFG-78;;;Tyloses and deposits in vessels;;;IAWA;;;;;
IFG-81;;;Wood vesselless;;;IAWA;;;;;
IFG-82;;;Tracheids;;;IAWA;;;;;
IFG-83;;;Ground tissu fibres;;;IAWA;;;;;
IFG-87;;;Septate fibres;;;IAWA;;;;;
IFG-89;;;Parenchyma-like;;;IAWA;;;;;
IFG-90;;;Fibre wall thickness;;;IAWA;;;;;
IFG-93;;;Mean fibre lengths;;;IAWA;;;;;
IFG-97;;;Absent/rare;;;IAWA;;;;;
IFG-98;;;Apotracheal;;;IAWA;;;;;
IFG-100;;;Paratracheal;;;IAWA;;;;;
IFG-107;;;Banded wide;;;IAWA;;;;;
IFG-109;;;Banded pattern;;;IAWA;;;;;
IFG-112;;;Cell type / strand length;;;IAWA;;;;;
IFG-117;;;Unlignified;;;IAWA;;;;;
IFG-118;;;Ray width;;;IAWA;;;;;
IFG-123;;;Aggregate rays;;;IAWA;;;;;
IFG-124;;;Ray height;;;IAWA;;;;;
IFG-125;;;Rays of two distinct sizes;;;IAWA;;;;;
IFG-126;;;Rays: cellular composition;;;IAWA;;;;;
IFG-132;;;Other;;;IAWA;;;;;
IFG-136;;;Rays per millimetre;;;IAWA;;;;;
IFG-139;;;Wood rayless;;;IAWA;;;;;
IFG-140;;;Ray;;;IAWA;;;;;
IFG-142;;;Par - Vessel;;;IAWA;;;;;
IFG-143;;;Fibres;;;IAWA;;;;;
IFG-144;;;Irregular;;;IAWA;;;;;
IFG-146;;;Oil and mucilage cells;;;IAWA;;;;;
IFG-149;;;Intercellular canals;;;IAWA;;;;;
IFG-154;;;Tubes / tubules;;;IAWA;;;;;
IFG-155;;;Cambial variants;;;IAWA;;;;;
IFG-158;;;Prismatic crystals;;;IAWA;;;;;
IFG-166;;;Druses;;;IAWA;;;;;
IFG-171;;;Other crystal types;;;IAWA;;;;;
IFG-176;;;Other diagnostic crystal features;;;IAWA;;;;;
IFG-181;;;Silica;;;IAWA;;;;;
IFG-186;;;Transition from earlywood to latewood;;;IAWA;;;;;
IFG-188;;;Tracheid pitting in radial walls (in earlywood only);;;IAWA;;;;;
IFG-190;;;"Arrangement of (two or more seriate) tracheid pitting in radial walls (earlywood
only)";;;IAWA;;;;;
IFG-192;;;Organic deposits (in heartwood tracheids);;;IAWA;;;;;
IFG-193;;;tracheid length;;;IAWA;;;;;
IFG-194;;;Average longitudinal tracheid length (LT length);;;IAWA;;;;;
IFG-197;;;Intercellular spaces throughout the wood (transverse section);;;IAWA;;;;;
IFG-198;;;Latewood (LW) tracheid wall thickness (transverse section);;;IAWA;;;;;
IFG-199;;;Torus (pits in earlywood tracheids only);;;IAWA;;;;;
IFG-200;;;Pits with notched borders;;;IAWA;;;;;
IFG-201;;;Warty layer (visible under the light microscope);;;IAWA;;;;;
IFG-202;;;Helical thickenings in tracheids;;;IAWA;;;;;
IFG-203;;;Helical thickenings (in longitudinal tracheids - location);;;IAWA;;;;;
IFG-204;;;Helical thickenings (in longitudinal tracheids - whether single or grouped);;;IAWA;;;;;
IFG-205;;;Helical thickenings (in longitudinal tracheids - spacing, earlywood tracheids only);;;IAWA;;;;;
IFG-206;;;Helical thickenings in ray tracheids;;;IAWA;;;;;
IFG-207;;;Callitroid thickenings;;;IAWA;;;;;
IFG-208;;;Axial parenchyma (excl. epithelial and subsidiary cells of intercellular canals);;;IAWA;;;;;
IFG-209;;;Arrangement of axial parenchyma;;;IAWA;;;;;
IFG-210;;; Transverse end walls of axial parenchyma;;;IAWA;;;;;
IFG-211;;;Ray tracheids;;;IAWA;;;;;
IFG-212;;;Cell walls of ray tracheids;;;IAWA;;;;;
IFG-213;;;Ray tracheid pit borders angular or with dentate thickenings (radial section, Larix & Picea only);;;IAWA;;;;;
IFG-214;;;End walls of ray parenchyma cells;;;IAWA;;;;;
IFG-215;;;Horizontal walls of ray parenchyma cells;;;IAWA;;;;;
IFG-216;;;Indentures;;;IAWA;;;;;
IFG-217;;;Cross-field pitting (according to Phillips 1948, amended by Vogel 1995);;;IAWA;;;;;
IFG-218;;;Number of pits per cross-field;;;IAWA;;;;;
IFG-219;;;Number of pits per cross-field (earlywood only – categories);;;IAWA;;;;;
IFG-220;;;Average ray height;;;IAWA;;;;;
IFG-221;;;Average ray height (number of cells);;;IAWA;;;;;
IFG-222;;;Average fusiform ray height;;;IAWA;;;;;
IFG-223;;;Ray width (applies to rays without canals);;;IAWA;;;;;
IFG-224;;;Axial intercellular (resin) canals;;;IAWA;;;;;
IFG-225;;;Radial intercellular (resin) canals;;;IAWA;;;;;
IFG-226;;;Traumatic (resin) canals ;;;IAWA;;;;;
IFG-227;;;Average diameter of normal axial intercellular canals;;;IAWA;;;;;
IFG-228;;;Average diameter of normal radial intercellular canals;;;IAWA;;;;;
IFG-229;;;Epithelial cells (of intercellular canals) ;;;IAWA;;;;;
IFG-230;;;Crystals;;;IAWA;;;;;
IFG-231;;;Type of crystals;;;IAWA;;;;;
IFG-232;;;Crystals located in;;;IAWA;;;;;
IFG-233;;;Crystals located in ;;;IAWA;;;;;
IFG-234;;;Geographical distribution;;;IAWA;;;;;
IFG-235;;;Habit;;;IAWA;;;;;
IFG-236;;;Wood of commercial importance;;;IAWA;;;;;
IFG-237;;;Specific gravity;;;IAWA;;;;;
IFG-238;;;Heartwood colour;;;IAWA;;;;;
IFG-239;;;Difference between heartwood and sapwood colour;;;IAWA;;;;;
IFG-240;;;Odour;;;IAWA;;;;;
IFG-241;;;Average air-dry density / basic specific gravity;;;IAWA;;;;;
IFG-242;;;Average air-dry density (g/cm3);;;IAWA;;;;;
IFG-243;;;Heartwood fluorescence;;;IAWA;;;;;
IFG-244;;;Water & ethanol extracts: fluorescence & colour;;;IAWA;;;;;
IFG-245;;;Froth test ;;;IAWA;;;;;
IFG-246;;;Chrome Azurol-S test;;;IAWA;;;;;
IFG-247;;;Burning splinter test;;;IAWA;;;;;
IFG-248;;;Sieve-tube grouping and distribution;;;IAWA;;;;;
IFG-249;;;Sieve plate complement;;;IAWA;;;;;
IFG-250;;;Sieve plate inclination;;;IAWA;;;;;
IFG-251;;;Other sieve-tube features;;;IAWA;;;;;
IFG-252;;;Companion cells;;;IAWA;;;;;
IFG-253;;;Sieve cells;;;IAWA;;;;;
IFG-254;;;Strasburger cells;;;IAWA;;;;;
IFG-255;;;Dilatation phenomena;;;IAWA;;;;;
IFG-256;;;Parenchyma distribution;;;IAWA;;;;;
IFG-257;;;Parenchyma strand length;;;IAWA;;;;;
IFG-258;;;Course of rays;;;IAWA;;;;;
IFG-259;;;Ray dilatation;;;IAWA;;;;;
IFG-260;;;Ray width and height;;;IAWA;;;;;
IFG-261;;;Ray composition;;;IAWA;;;;;
IFG-262;;;Ray aggregation;;;IAWA;;;;;
IFG-263;;;Sclerification of rays;;;IAWA;;;;;
IFG-264;;;Rays absent;;;IAWA;;;;;
IFG-265;;;Fibers, fiber-sclereids, and sclereids (cellular level);;;IAWA;;;;;
IFG-266;;;Sclerification at the tissue level;;;IAWA;;;;;
IFG-267;;;Arrangement of fibers, fiber-sclereids and sclereids;;;IAWA;;;;;
IFG-268;;;Fiber or fiber-sclereid band width;;;IAWA;;;;;
IFG-269;;;Storied structure;;;IAWA;;;;;
IFG-270;;;Pericyclic and protophloem fibers and sclereids;;;IAWA;;;;;
IFG-271;;;Variation in the location of the phloem;;;IAWA;;;;;
IFG-272;;;Origins of the first periderm;;;IAWA;;;;;
IFG-273;;;Arrangement of sequent periderms in TS;;;IAWA;;;;;
IFG-274;;;Types of phellem cells;;;IAWA;;;;;
IFG-275;;;Stratification and aerenchyma in the phellem;;;IAWA;;;;;
IFG-276;;;Phelloderm thickness;;;IAWA;;;;;
IFG-277;;;Cell types and phelloderm stratification;;;IAWA;;;;;
IFG-278;;;Lenticels;;;IAWA;;;;;
IFG-279;;;Outgrowths of the bark;;;IAWA;;;;;
IFG-280;;;Crystal shape;;;IAWA;;;;;
IFG-281;;;Crystals of other shapes (mostly small);;;IAWA;;;;;
IFG-282;;;Distribution of mineral inclusions;;;IAWA;;;;;
IFG-283;;;Organic inclusions;;;IAWA;;;;;
IFG-284;;;Secretory structures;;;IAWA;;;;;
IFG-285;;;Common legend for the staining used in the color plates;;;IAWA;;;;;
